Postcode,Subcluster
WN5 7HA,2.2
WN5 7HB,2.2
WN5 7HD,2.2
WN5 7HE,2.2
WN5 7HF,2.2
WN5 7HQ,2.2
WN5 7HR,2.2
WN5 7HS,2.2
WN5 7HT,2.2
WN5 7HU,2.2
WN5 7HY,2.2
WN5 7JA,2.2
WN5 7LA,2.2
WN5 7LB,2.2
WN5 7LD,2.2
WN5 7LE,2.2
WN5 7LF,2.2
WN5 7LG,2.2
WN5 7LH,2.2
WN5 7LJ,2.2
WN5 7LL,2.2
WN5 7LN,2.2
WN5 7LP,2.2
WN5 7LQ,2.2
WN5 7LR,2.2
WN5 7LS,2.2
WN5 7LT,2.2
WN5 7LU,2.2
WN5 7LX,2.2
WN5 7LY,2.2
WN5 7LZ,2.2
WN5 7NB,2.2
WN5 7ND,2.2
WN5 7NE,2.2
WN5 7NF,2.2
WN5 7NG,2.2
WN5 7NH,2.2
WN5 7NJ,2.2
WN5 7NL,2.2
WN5 7NN,2.2
WN5 7NP,2.2
WN5 7NR,2.2
WN5 7NS,2.2
WN5 7NT,2.2
WN5 7NU,2.2
WN5 7NW,2.2
WN5 7NX,2.2
WN5 7NY,2.2
WN5 7NZ,2.1
WN5 7PA,2.2
WN5 7PB,2.1
WN5 7PD,2.2
WN5 7PE,2.2
WN5 7PF,2.1
WN5 7PG,2.2
WN5 7PJ,2.1
WN5 7PL,2.1
WN5 7PN,2.2
WN5 7PP,2.1
WN5 7PQ,2.1
WN5 7PR,2.1
WN5 7PS,2.2
WN5 7PT,2.1
WN5 7PU,2.2
WN5 7PW,2.2
WN5 7PX,2.2
WN5 7PY,2.2
WN5 7PZ,2.2
WN5 7QA,2.1
WN5 7QD,2.1
WN5 7QE,2.1
WN5 7QF,2.1
WN5 7QG,2.1
WN5 7QH,2.1
WN5 7QJ,2.1
WN5 7QL,2.1
WN5 7QN,2.1
WN5 7QP,2.1
WN5 7QQ,2.1
WN5 7QR,2.1
WN5 7QS,2.1
WN5 7QT,2.1
WN5 7QU,2.1
WN5 7QW,2.1
WN5 7QX,2.1
WN5 7QY,2.1
WN5 7QZ,2.1
WN5 7RX,2.1
WN5 7RY,2.1
WN5 7RZ,2.1
WN5 7SA,2.1
WN5 7SB,2.1
WN5 7SD,2.1
WN5 7SE,2.1
WN5 7SF,2.1
WN5 7TA,2.2
WN5 7TB,2.2
WN5 7TD,2.2
WN5 7TE,2.1
WN5 7TF,2.1
WN5 7TG,2.1
WN5 7TH,2.1
WN5 7TJ,2.2
WN5 7TL,2.1
WN5 7TN,2.1
WN5 7TP,2.1
WN5 7TQ,2.1
WN5 7TR,2.1
WN5 7TS,2.1
WN5 7TT,2.1
WN5 7TU,2.1
WN5 7TW,2.1
WN5 7TX,2.1
WN5 7TY,2.1
WN5 7TZ,2.1
WN5 7UA,2.2
WN5 7UB,2.1
WN5 7UD,2.1
WN5 7UE,2.1
WN5 7XR,2.2
WN5 7BW,2.2
WN4 9PH,1.2
WN4 0PA,3.2
WN4 0PW,3.2
WN4 0PX,3.2
WN4 0PY,3.2
WN4 0PZ,3.2
WN4 0QA,3.2
WN4 0QB,3.2
WN4 0QD,3.2
WN4 0QF,3.2
WN4 0QG,3.2
WN4 0QJ,3.2
WN4 0QL,3.2
WN4 0QN,3.2
WN4 0QP,3.2
WN4 0QR,3.2
WN4 0QS,3.2
WN4 0QT,3.2
WN4 0QU,3.2
WN4 0QW,3.2
WN4 0QX,3.2
