Retail_Centre,Spend Rank
1000,200
1010,191
1104,117
1164,99
1179,96
1222,186
1245,201
1268,37
1281,38
1355,83
1356,59
1388,34
1423,238
1440,82
1453,158
1565,235
1664,197
1699,229
1728,8
1752,4
1766,79
1806,138
1851,226
1871,175
1974,28
1975,2
2055,153
2056,134
2131,174
2222,56
2230,66
224,216
2348,31
2446,132
2447,193
2527,155
2550,88
2551,214
2565,149
2567,89
2568,13
2686,145
2707,53
2823,171
2911,29
2953,124
2954,60
3004,120
301,95
3057,58
3113,97
3235,148
3302,131
3339,71
3374,24
3375,204
3376,212
3467,147
3468,170
3469,75
3505,182
3533,169
3534,167
3535,32
3618,228
3708,219
3709,190
3710,203
3711,176
3792,10
3798,195
3882,163
3883,116
3968,18
3969,49
3970,100
4066,20
4067,7
4068,3
4074,144
4145,161
4204,84
4205,189
4206,218
4207,19
4209,194
4322,115
4323,178
4325,173
4442,128
4443,211
4592,57
4594,187
461,41
4669,30
4719,142
4720,68
477,47
4868,23
4869,39
4870,202
4871,55
4872,104
4873,14
4877,125
4973,224
5051,130
5052,1
5053,150
5054,65
5061,87
5256,74
5257,205
5258,159
5259,106
5276,136
5439,93
5440,114
5441,62
5454,40
5629,179
5630,110
5631,94
5632,183
5640,25
574,165
5856,129
5857,64
5858,152
5865,76
5866,223
6022,107
6114,15
6115,217
6116,236
6117,199
6118,101
6119,121
6120,11
6438,109
6439,81
6440,239
6441,162
6442,230
6443,137
6444,206
6445,208
6446,184
6454,196
669,143
67,33
6766,27
6767,146
6768,181
6769,220
6770,16
6771,154
6772,48
6791,44
690,225
6966,141
7137,127
7138,72
7139,112
7140,122
7141,6
7142,234
7143,188
7144,215
7162,26
7163,92
7164,209
7165,98
730,160
7375,52
756,133
7601,70
7604,232
7605,69
7606,51
7607,118
7608,21
7609,213
7611,77
7612,233
7614,91
7615,22
7634,140
7653,237
8138,50
8141,192
8142,227
8143,135
8145,86
8147,222
8148,185
8150,164
8151,151
8152,126
8176,231
8177,54
8179,180
819,177
8519,113
879,119
8798,36
8799,45
8800,73
8801,139
8802,42
8803,17
8804,103
8805,63
8806,9
8807,5
8808,105
8809,108
8810,67
8812,35
8813,85
8815,207
8816,198
8817,78
8819,12
8820,210
8849,168
8851,221
8852,166
8889,46
90,61
920,123
9283,80
9300,111
9356,157
9455,43
9477,90
950,172
9576,102
979,156
