Retail_Centre,Vacancy Rank
67,129
90,160
224,63
301,206
461,80
477,43
574,142
669,82
690,166
730,220
756,178
819,225
879,120
920,21
950,90
979,54
1000,219
1010,182
1104,20
1164,171
1179,236
1222,32
1245,25
1268,131
1281,91
1355,38
1356,86
1388,189
1423,170
1440,126
1453,228
1565,53
1664,138
1699,34
1728,115
1752,183
1766,6
1806,5
1851,96
1871,214
1974,186
1975,22
2055,141
2056,222
2131,121
2222,62
2230,81
2348,24
2446,128
2447,92
2527,11
2550,197
2551,148
2565,27
2567,12
2568,73
2686,72
2707,143
2823,210
2911,55
2953,205
2954,179
3004,185
3057,192
3113,229
3235,146
3302,224
3339,174
3374,208
3375,51
3376,184
3467,233
3468,145
3469,213
3505,218
3533,42
3534,134
3535,199
3618,133
3708,149
3709,123
3710,83
3711,108
3792,200
3798,191
3882,101
3883,109
3968,144
3969,216
3970,9
4066,78
4067,180
4068,193
4074,164
4145,230
4204,37
4205,204
4206,64
4207,29
4209,14
4322,173
4323,89
4325,137
4442,113
4443,157
4592,45
4594,151
4669,188
4719,66
4720,61
4868,194
4869,94
4870,8
4871,31
4872,212
4873,217
4877,158
4973,30
5051,36
5052,1
5053,161
5054,46
5061,195
5256,41
5257,60
5258,176
5259,47
5276,153
5439,172
5440,105
5441,17
5454,203
5629,187
5630,117
5631,198
5632,75
5640,111
5856,39
5857,28
5858,122
5865,168
5866,88
6022,10
6114,7
6115,201
6116,150
6117,152
6118,235
6119,167
6120,140
6438,68
6439,4
6440,87
6441,162
6442,49
6443,118
6444,52
6445,2
6446,19
6454,13
6766,211
6767,57
6768,26
6769,102
6770,44
6771,130
6772,104
6791,15
6966,135
7137,155
7138,116
7139,239
7140,71
7141,159
7142,202
7143,16
7144,147
7162,23
7163,139
7164,59
7165,163
7375,76
7601,65
7604,70
7605,234
7606,132
7607,169
7608,77
7609,35
7611,156
7612,95
7614,119
7615,98
7634,103
7653,181
8138,93
8141,125
8142,100
8143,106
8145,136
8147,177
8148,190
8150,223
8151,207
8152,237
8176,40
8177,85
8179,3
8519,196
8798,56
8799,50
8800,69
8801,209
8802,227
8803,165
8804,79
8805,232
8806,154
8807,112
8808,175
8809,33
8810,74
8812,48
8813,238
8815,114
8816,97
8817,226
8819,215
8820,58
8849,124
8851,107
8852,84
8889,18
9283,231
9300,99
9356,221
9455,67
9477,127
9576,110
